time_step,dimension,dimension_name,household_i,household_j,p_ji_value
1,0,vacant,27,33,0.0
1,2,sell,18,33,0.0
1,2,sell,43,33,0.0
1,2,sell,10,33,0.0
1,2,sell,47,33,0.0
1,2,sell,14,33,0.0
1,2,sell,32,33,0.0
1,2,sell,50,33,0.0
1,2,sell,7,33,0.0
1,2,sell,8,33,0.0
1,2,sell,31,33,0.0
1,2,sell,27,33,0.0
1,1,repair,5,34,0.0
1,1,repair,19,34,0.036160531089855515
1,1,repair,13,34,0.0
1,1,repair,35,34,0.0
1,1,repair,36,34,0.0
1,0,vacant,5,34,0.0
1,0,vacant,19,34,0.0
1,0,vacant,13,34,0.0
1,0,vacant,35,34,0.0
1,0,vacant,36,34,0.0
1,2,sell,5,34,0.0
1,2,sell,19,34,0.036160531089855515
1,2,sell,13,34,0.0
1,2,sell,35,34,0.0
1,2,sell,36,34,0.0
1,1,repair,16,35,0.0
1,1,repair,39,35,0.0
1,1,repair,34,35,0.0
1,0,vacant,16,35,0.0
1,0,vacant,39,35,0.0
1,0,vacant,34,35,0.0
1,2,sell,16,35,0.0
1,2,sell,39,35,0.0
1,2,sell,34,35,0.0
1,1,repair,18,36,0.0
1,1,repair,19,36,0.09509977606834613
1,1,repair,49,36,0.0
1,1,repair,46,36,0.09165876126796685
1,1,repair,45,36,0.0
1,1,repair,34,36,0.0
1,0,vacant,18,36,0.0
1,0,vacant,19,36,0.0
1,0,vacant,49,36,0.0
1,0,vacant,46,36,0.0
1,0,vacant,45,36,0.0
1,0,vacant,34,36,0.0
1,2,sell,18,36,0.0
1,2,sell,19,36,0.09509977606834613
1,2,sell,49,36,0.0
1,2,sell,46,36,0.0
1,2,sell,45,36,0.0
1,2,sell,34,36,0.0
1,1,repair,20,37,0.0
1,1,repair,12,37,0.0
1,1,repair,41,37,0.0
1,1,repair,30,37,0.0
1,1,repair,2,37,0.0
1,1,repair,4,37,0.0
1,1,repair,38,37,0.0
1,1,repair,45,37,0.0
1,1,repair,24,37,0.0
1,0,vacant,20,37,0.0
1,0,vacant,12,37,0.0
1,0,vacant,41,37,0.0
1,0,vacant,30,37,0.0
1,0,vacant,2,37,0.0
1,0,vacant,4,37,0.0
1,0,vacant,38,37,0.0
1,0,vacant,45,37,0.0
1,0,vacant,24,37,0.0
1,2,sell,20,37,0.0
1,2,sell,12,37,0.0
1,2,sell,41,37,0.0
1,2,sell,30,37,0.0
1,2,sell,2,37,0.0
1,2,sell,4,37,0.0
1,2,sell,38,37,0.0
